TRUE	PRED	PDF	page_number
Clear	Clear	company9.pdf	10
Clear	Clear	company15.pdf	73
Not Clear	Clear	company29.pdf	43
Clear	Clear	company28.pdf	63
Clear	Clear	company17.pdf	153
Clear	Clear	company29.pdf	155
Clear	Clear	company7.pdf	31
Clear	Clear	company28.pdf	71
Clear	Clear	company2.pdf	22
Clear	Clear	company16.pdf	38
Clear	Clear	company29.pdf	22
Clear	Clear	company15.pdf	6
Clear	Clear	company12.pdf	77
Not Clear	Clear	company10.pdf	28
Clear	Clear	company13.pdf	42
Clear	Clear	company7.pdf	21
Clear	Clear	company25.pdf	61
Clear	Clear	company11.pdf	101
Not Clear	Clear	company29.pdf	129
Clear	Clear	company30.pdf	16
Clear	Clear	company13.pdf	16
Clear	Clear	company5.pdf	73
Clear	Clear	company27.pdf	134
Clear	Clear	company29.pdf	58
Clear	Clear	company22.pdf	78
Clear	Clear	company25.pdf	33
Clear	Clear	company21.pdf	57
Clear	Clear	company17.pdf	30
Clear	Clear	company24.pdf	2
Clear	Clear	company19.pdf	68
Clear	Clear	company25.pdf	50
Clear	Clear	company12.pdf	68
Clear	Clear	company2.pdf	50
Clear	Clear	company3.pdf	93
Clear	Clear	company5.pdf	52
Clear	Clear	company27.pdf	65
Clear	Clear	company11.pdf	35
Not Clear	Clear	company17.pdf	115
Clear	Clear	company23.pdf	74
Clear	Clear	company24.pdf	81
Not Clear	Clear	company12.pdf	30
Clear	Clear	company9.pdf	53
Clear	Clear	company15.pdf	42
Clear	Clear	company16.pdf	35
Clear	Clear	company27.pdf	71
Clear	Clear	company8.pdf	7
Clear	Clear	company25.pdf	94
Clear	Clear	company17.pdf	108
Clear	Clear	company30.pdf	162
Clear	Clear	company25.pdf	58
Clear	Clear	company25.pdf	87
Clear	Clear	company20.pdf	47
Clear	Clear	company30.pdf	3
Clear	Clear	company2.pdf	79
Clear	Clear	company18.pdf	38
Clear	Clear	company13.pdf	2
Clear	Clear	company8.pdf	18
Clear	Clear	company1.pdf	11
Clear	Clear	company26.pdf	56
Clear	Clear	company25.pdf	9
Clear	Clear	company29.pdf	145
Clear	Clear	company9.pdf	35
Clear	Clear	company27.pdf	144
Clear	Clear	company7.pdf	18
Clear	Clear	company21.pdf	7
Clear	Clear	company25.pdf	74
Clear	Clear	company11.pdf	55
Clear	Clear	company11.pdf	25
Clear	Clear	company7.pdf	66
Clear	Clear	company13.pdf	12
Clear	Clear	company24.pdf	80
Clear	Clear	company21.pdf	61
Clear	Clear	company25.pdf	3
Clear	Clear	company19.pdf	48
Clear	Clear	company21.pdf	80
Clear	Clear	company20.pdf	66
Clear	Clear	company14.pdf	40
Clear	Clear	company12.pdf	74
Clear	Clear	company7.pdf	86
Clear	Clear	company23.pdf	22
Clear	Clear	company30.pdf	13
Clear	Clear	company24.pdf	51
Not Clear	Clear	company21.pdf	5
Clear	Clear	company1.pdf	71
Clear	Clear	company6.pdf	61
Clear	Clear	company7.pdf	94
Clear	Clear	company26.pdf	11
Clear	Clear	company8.pdf	38
Clear	Clear	company22.pdf	44
Clear	Clear	company17.pdf	64
Clear	Clear	company16.pdf	25
Clear	Clear	company6.pdf	47
Clear	Clear	company13.pdf	43
Clear	Clear	company5.pdf	30
Clear	Clear	company23.pdf	55
Clear	Clear	company10.pdf	42
Clear	Clear	company16.pdf	7
Clear	Clear	company14.pdf	14
Clear	Clear	company8.pdf	58
Clear	Clear	company7.pdf	52
Clear	Clear	company13.pdf	26
Clear	Clear	company6.pdf	44
Clear	Clear	company5.pdf	9
Clear	Clear	company30.pdf	102
Clear	Clear	company14.pdf	19
Clear	Clear	company20.pdf	87
Clear	Clear	company19.pdf	106
Clear	Clear	company11.pdf	50
Clear	Clear	company17.pdf	71
Clear	Clear	company7.pdf	37
Clear	Clear	company21.pdf	48
Clear	Clear	company12.pdf	43
Clear	Clear	company1.pdf	25
Clear	Clear	company17.pdf	86
Clear	Clear	company2.pdf	31
Clear	Clear	company11.pdf	100
Clear	Clear	company30.pdf	152
Clear	Clear	company24.pdf	31
Clear	Clear	company15.pdf	16
Clear	Clear	company11.pdf	7
