TRUE	PRED	PDF	page_number
Not Clear	Clear	TSMC.pdf	93
Not Clear	Clear	KYE.pdf	16
Clear	Clear	Standard.pdf	79
Clear	Clear	KYE.pdf	53
Clear	Clear	TSMC.pdf	34
Clear	Clear	PSI.pdf	17
Clear	Clear	Alchip.pdf	25
Clear	Clear	PSI.pdf	48
Not Clear	Clear	Standard.pdf	69
Clear	Clear	TSMC.pdf	214
Clear	Clear	KYE.pdf	47
Not Clear	Not Clear	TSMC.pdf	95
Clear	Clear	Alchip.pdf	30
Not Clear	Clear	NPC.pdf	19
Clear	Clear	TSMC.pdf	16
Clear	Clear	KYE.pdf	60
Not Clear	Clear	TSMC.pdf	88
Clear	Clear	TSMC.pdf	108
Clear	Clear	FPCC.pdf	89
Not Clear	Clear	NPC.pdf	22
Clear	Clear	GTG.pdf	38
Not Clear	Not Clear	NPC.pdf	71
Clear	Clear	PSI.pdf	19
Clear	Clear	pegavision.pdf	49
Clear	Clear	Standard.pdf	30
Clear	Clear	GTG.pdf	14
Clear	Clear	Standard.pdf	18
Not Clear	Clear	TSMC.pdf	94
Not Clear	Clear	NPC.pdf	20
Not Clear	Clear	PSI.pdf	42
Not Clear	Clear	PSI.pdf	33
Clear	Clear	Alchip.pdf	27
Clear	Clear	Standard.pdf	64
