TRUE	PRED	PDF	page_number
Less than 2 years	N/A	GTG.pdf	37
More than 5 years	2 to 5 years	TSMC.pdf	93
Less than 2 years	2 to 5 years	TSMC.pdf	69
N/A	2 to 5 years	Alchip.pdf	13
N/A	2 to 5 years	Alchip.pdf	16
Less than 2 years	2 to 5 years	pegavision.pdf	12
N/A	2 to 5 years	KYE.pdf	16
N/A	2 to 5 years	Standard.pdf	79
N/A	N/A	FPCC.pdf	19
N/A	Less than 2 years	GTG.pdf	25
N/A	N/A	KYE.pdf	53
Less than 2 years	2 to 5 years	TSMC.pdf	34
Less than 2 years	More than 5 years	TSMC.pdf	163
Less than 2 years	2 to 5 years	PSI.pdf	17
Less than 2 years	N/A	GTG.pdf	39
N/A	N/A	PSI.pdf	59
Less than 2 years	Less than 2 years	Alchip.pdf	25
N/A	2 to 5 years	NPC.pdf	63
N/A	Less than 2 years	PSI.pdf	48
N/A	2 to 5 years	Standard.pdf	69
Less than 2 years	2 to 5 years	pegavision.pdf	11
Less than 2 years	2 to 5 years	TSMC.pdf	214
More than 5 years	2 to 5 years	TSMC.pdf	75
N/A	2 to 5 years	KYE.pdf	47
More than 5 years	Less than 2 years	TSMC.pdf	95
2 to 5 years	2 to 5 years	KYE.pdf	74
Less than 2 years	2 to 5 years	TSMC.pdf	148
N/A	2 to 5 years	FPCC.pdf	12
Less than 2 years	2 to 5 years	pegavision.pdf	10
2 to 5 years	2 to 5 years	FPCC.pdf	34
Less than 2 years	2 to 5 years	Alchip.pdf	30
N/A	2 to 5 years	NPC.pdf	63
Less than 2 years	2 to 5 years	TSMC.pdf	93
Less than 2 years	Less than 2 years	TSMC.pdf	193
Less than 2 years	N/A	TSMC.pdf	183
Less than 2 years	2 to 5 years	TSMC.pdf	37
N/A	N/A	PSI.pdf	12
N/A	2 to 5 years	KYE.pdf	81
2 to 5 years	2 to 5 years	NPC.pdf	19
2 to 5 years	2 to 5 years	FPCC.pdf	35
More than 5 years	More than 5 years	TSMC.pdf	161
More than 5 years	N/A	TSMC.pdf	140
N/A	2 to 5 years	FPCC.pdf	15
More than 5 years	Less than 2 years	TSMC.pdf	16
N/A	N/A	FPCC.pdf	2
Less than 2 years	2 to 5 years	PSI.pdf	43
Less than 2 years	More than 5 years	TSMC.pdf	123
2 to 5 years	Less than 2 years	SPT.pdf	40
More than 5 years	2 to 5 years	TSMC.pdf	136
2 to 5 years	2 to 5 years	KYE.pdf	60
Less than 2 years	already	TSMC.pdf	88
More than 5 years	N/A	Alchip.pdf	15
N/A	N/A	FPCC.pdf	132
Less than 2 years	2 to 5 years	TSMC.pdf	108
N/A	2 to 5 years	FPCC.pdf	89
Less than 2 years	2 to 5 years	NPC.pdf	22
N/A	2 to 5 years	FPCC.pdf	3
Less than 2 years	Less than 2 years	GTG.pdf	38
Less than 2 years	Less than 2 years	NPC.pdf	71
N/A	N/A	FPCC.pdf	45
More than 5 years	2 to 5 years	FPCC.pdf	77
N/A	2 to 5 years	FPCC.pdf	32
N/A	2 to 5 years	KYE.pdf	36
Less than 2 years	2 to 5 years	PSI.pdf	19
More than 5 years	More than 5 years	TSMC.pdf	124
N/A	2 to 5 years	pegavision.pdf	49
Less than 2 years	N/A	NPC.pdf	25
More than 5 years	2 to 5 years	Standard.pdf	30
Less than 2 years	Less than 2 years	GTG.pdf	14
Less than 2 years	2 to 5 years	FPCC.pdf	96
2 to 5 years	2 to 5 years	Standard.pdf	18
More than 5 years	2 to 5 years	TSMC.pdf	94
2 to 5 years	2 to 5 years	NPC.pdf	20
N/A	2 to 5 years	PSI.pdf	42
Less than 2 years	2 to 5 years	TSMC.pdf	149
N/A	N/A	FPCC.pdf	141
N/A	2 to 5 years	GTG.pdf	16
Less than 2 years	2 to 5 years	PSI.pdf	33
N/A	2 to 5 years	NPC.pdf	63
Less than 2 years	Less than 2 years	Alchip.pdf	27
N/A	Less than 2 years	SPT.pdf	21
More than 5 years	Less than 2 years	Standard.pdf	64
